60,102,1361,79,94,91,80,116,119,18,0,0,14,22,3,39,69,7,6,11,0,0,0,0,0,0,0,0
35,187,95,2492,83,12,3,66,12,0,0,0,116,86,52,46,7,51,5,0,0,0,0,21,15,1,0,0
89,53,70,78,1552,80,11,60,49,15,0,0,39,58,10,46,57,44,70,7,0,10,0,5,11,24,0,2
74,13,79,25,97,2201,94,121,148,108,17,0,70,25,2,12,58,2,3,77,14,8,0,0,0,0,0,0
21,27,16,75,36,41,1505,78,80,140,120,46,34,112,8,18,10,2,1,40,155,2,53,0,0,0,0,0
10,76,107,23,76,105,147,2555,76,50,19,0,10,45,16,45,88,11,47,50,10,143,0,3,4,12,0,32
39,9,95,86,59,198,125,102,2968,83,41,27,79,35,80,37,67,30,7,67,46,41,17,22,4,3,0,7
27,0,2,0,38,45,126,48,69,2827,125,88,0,79,55,33,52,136,45,72,132,11,167,4,44,7,0,4
0,0,0,0,0,1,38,19,35,60,3018,221,0,0,0,30,48,44,143,45,134,107,286,0,4,97,0,17
0,0,0,0,0,0,27,0,152,151,97,2029,0,0,0,0,224,0,107,104,38,184,63,0,0,7,0,69
58,6,97,46,52,55,2,7,1,0,0,0,1484,53,119,26,8,81,6,0,0,0,0,75,83,5,52,0
15,88,7,83,37,92,69,54,7,1,0,0,62,1665,84,28,28,96,53,8,0,9,0,13,54,135,29,9
0,21,10,83,7,5,45,92,144,4,0,0,120,43,2330,61,15,71,24,1,0,9,0,120,98,49,45,6
20,160,34,23,42,4,59,19,41,8,1,0,7,23,17,609,26,37,42,13,8,32,0,12,4,30,6,121
27,14,161,4,55,85,15,167,71,178,45,11,33,36,28,52,2944,56,105,87,39,116,36,93,55,14,18,61
0,15,6,133,47,6,3,4,51,178,11,0,38,109,70,19,81,2239,75,21,3,30,0,49,96,85,6,40
0,4,7,3,47,4,10,38,3,42,220,20,1,23,22,62,30,64,2047,74,41,135,8,21,34,130,53,81
20,0,5,0,2,75,46,34,101,40,87,33,0,23,42,15,36,25,20,1138,55,60,19,42,69,41,64,4
12,0,0,0,0,5,73,2,42,160,87,194,0,0,0,13,24,40,23,32,1580,18,147,0,36,71,4,43
0,0,9,0,4,25,15,77,82,9,48,230,0,2,30,24,149,35,62,42,72,2120,35,64,28,26,69,92
0,0,0,0,0,0,3,0,3,73,318,217,0,0,0,0,21,0,44,32,57,41,2406,0,0,44,0,68
0,0,0,2,2,0,0,2,39,19,0,0,42,4,27,52,334,126,40,13,0,3,0,1493,81,28,93,8
0,0,0,6,2,0,0,3,1,15,8,0,105,75,149,2,28,28,58,120,7,27,0,77,1635,95,131,13
0,0,0,3,8,0,0,4,5,4,46,28,5,79,41,52,5,173,32,25,192,70,17,40,93,2298,45,146
0,0,0,0,0,0,0,0,0,0,0,0,4,2,108,2,1,6,30,15,6,207,0,173,30,73,1506,34
0,0,0,0,3,0,0,13,8,15,18,140,0,2,1,33,91,22,115,6,27,41,228,15,16,56,18,1290
308,11,43,69,22,53,86,29,83,115,45,0,7,4,0,2,6,0,0,7,1,0,0,0,0,0,0,0
8,1205,94,128,88,109,30,141,24,0,0,0,45,62,13,35,14,7,1,0,0,0,0,0,0,0,0,0
56,99,1369,78,90,92,88,116,123,19,0,0,15,24,3,38,67,7,6,11,0,2,0,0,0,0,0,0
35,182,97,2496,80,13,3,67,13,0,0,0,134,95,62,47,7,56,5,0,0,0,0,25,18,1,0,0
90,53,73,80,1520,83,13,62,53,16,0,0,45,65,12,48,60,50,76,7,0,10,0,6,13,28,0,2
70,13,80,25,93,2217,104,121,155,112,17,0,76,27,2,12,58,2,3,79,14,8,0,0,0,0,0,0
18,25,15,71,32,39,1536,73,79,136,114,43,35,111,9,17,10,2,1,39,153,2,50,0,0,0,0,0
10,75,109,24,74,107,163,2581,81,52,20,0,11,49,19,46,91,12,51,54,11,147,0,4,5,14,0,34
35,8,91,84,55,190,130,98,2987,82,40,25,88,38,90,36,66,32,8,68,48,41,17,25,5,4,0,7
24,0,2,0,35,43,133,47,70,2848,124,85,0,86,65,33,52,145,47,75,139,11,169,5,51,9,0,5
0,0,0,0,0,1,41,19,36,62,3022,210,0,0,0,30,48,48,147,46,138,105,278,0,5,108,0,18
0,0,0,0,0,0,31,0,162,159,101,2022,0,0,0,0,230,0,113,110,41,182,63,0,0,9,0,68
