26,27,159,24,70,155,12,133,49,116,54,13,45,97,80,57,2850,94,96,91,65,82,18,123,62,28,26,74
0,47,8,99,77,7,20,7,34,122,6,0,46,72,66,16,62,2304,80,31,8,40,0,78,136,95,20,39
0,11,23,9,41,12,19,81,11,51,178,9,11,33,52,51,31,66,2022,61,52,132,16,53,56,134,40,87
35,0,7,0,7,58,111,33,108,37,71,49,0,16,21,26,48,44,30,1135,74,56,75,6,61,33,50,14
6,0,0,0,0,7,61,6,43,193,55,115,0,0,0,13,51,47,56,56,1631,37,170,0,11,88,6,43
0,0,7,0,7,21,24,38,132,19,46,182,0,9,19,22,139,45,64,38,70,2249,75,28,47,40,29,104
0,0,0,0,0,0,16,0,10,68,306,111,0,0,0,0,29,0,79,47,82,76,2448,0,0,25,0,85
0,0,0,8,6,0,0,12,47,21,0,0,128,10,26,25,266,80,68,12,0,18,0,1545,81,45,81,13
0,0,0,24,7,0,0,7,20,59,20,0,67,94,67,7,34,25,54,178,9,59,0,51,1603,106,149,40
0,0,0,12,16,0,0,10,13,68,94,30,12,51,38,69,17,106,36,40,221,70,12,59,70,2274,47,146
0,0,0,0,0,0,0,0,0,0,0,0,33,11,179,6,17,15,23,18,10,155,0,125,37,51,1538,41
0,0,0,0,7,0,0,14,17,30,100,73,0,9,12,24,151,38,127,20,32,45,123,22,33,68,30,1275
283,24,68,129,26,65,69,21,72,78,77,0,7,5,0,10,10,0,0,5,6,0,0,0,0,0,0,0
24,1199,50,62,66,68,16,230,91,0,0,0,10,62,12,54,114,7,6,0,0,0,0,0,0,0,0,0
52,144,1490,120,77,70,46,80,113,27,0,0,16,15,8,32,40,9,17,27,0,12,0,0,0,0,0,0
140,90,143,2465,60,80,17,50,10,0,0,0,78,65,77,55,24,67,45,0,0,0,0,30,11,8,0,0
53,66,40,93,1538,110,45,67,44,7,0,0,69,66,17,38,66,81,49,15,0,34,0,9,36,12,0,6
36,39,96,52,131,2226,89,128,106,114,27,0,117,37,6,15,69,6,10,39,28,6,0,0,0,0,0,0
17,9,20,10,36,55,1557,93,94,108,159,86,5,145,13,20,21,6,6,66,78,12,91,0,0,0,0,0
4,97,84,95,91,63,143,2590,92,55,9,0,47,99,39,53,67,26,75,52,21,58,0,10,16,46,0,13
43,18,65,41,76,137,90,100,2938,122,94,23,21,61,152,50,76,44,19,57,71,70,44,38,13,16,0,31
45,0,7,0,21,51,175,69,89,2884,162,213,0,25,8,34,56,141,34,65,89,21,128,6,49,14,0,15
8,0,0,0,0,9,74,41,98,100,2895,269,0,0,0,41,87,22,185,52,121,67,209,0,9,123,0,30
0,0,0,0,0,0,30,0,134,148,95,2134,0,0,0,0,206,0,44,93,42,184,122,0,0,10,0,102
82,6,57,30,57,127,10,41,12,0,0,0,1539,41,59,19,9,69,20,0,0,0,0,73,72,64,27,0
9,97,5,62,20,46,89,57,30,7,0,0,71,1665,88,32,29,73,51,6,0,17,0,19,97,75,89,43
0,8,5,122,6,9,55,35,124,7,0,0,84,27,2322,42,44,80,34,8,0,9,0,136,99,61,71,16
6,141,47,44,36,5,28,15,35,16,5,0,57,42,55,673,35,59,33,15,5,24,0,26,16,52,18,26
24,25,150,22,63,150,12,128,49,114,53,13,47,98,88,54,2755,95,97,91,67,79,18,133,68,31,28,76
0,42,8,90,70,7,21,7,35,121,6,0,47,74,72,15,60,2313,80,31,8,39,0,83,149,102,22,40
0,10,21,8,37,12,20,77,11,51,175,9,11,32,56,48,30,66,2008,60,52,125,15,57,60,143,43,86
31,0,7,0,6,55,119,31,109,37,70,47,0,16,24,24,47,45,30,1146,77,54,74,7,67,36,54,14
5,0,0,0,0,7,63,6,42,192,54,109,0,0,0,12,48,48,56,56,1660,35,165,0,13,94,6,43
